Date,close,high,low,open,volume
1995-03-06,8.0,10.5,7.0,10.5,1100
1995-03-07,8.0,8.0,8.0,8.0,0
1995-03-08,8.0,8.0,8.0,8.0,0
1995-03-09,8.0,8.0,8.0,8.0,0
1995-03-10,8.0,8.0,8.0,8.0,0
1995-03-13,8.0,8.0,8.0,8.0,0
1995-03-14,7.875,8.0,7.875,8.0,5100
1995-03-15,7.875,7.875,7.875,7.875,0
1995-03-16,7.875,7.875,7.875,7.875,0
1995-03-17,7.875,7.875,7.875,7.875,0
1995-03-20,5.5,5.5,5.5,5.5,100
1995-03-21,5.5,5.5,5.5,5.5,0
1995-03-22,5.5,5.5,5.5,5.5,0
1995-03-23,5.5,5.5,5.5,5.5,0
1995-03-24,5.5,5.5,5.5,5.5,0
1995-03-27,5.5,5.5,5.5,5.5,0
1995-03-28,5.5,5.5,5.5,5.5,0
1995-03-29,5.5,5.5,5.5,5.5,0
1995-03-30,5.5,5.5,5.5,5.5,0
1995-03-31,5.5,5.5,5.5,5.5,0
1995-04-03,5.5,5.5,5.5,5.5,0
1995-04-04,5.5,5.5,5.5,5.5,0
1995-04-05,7.875,8.0,7.875,8.0,4000
1995-04-06,8.125,8.125,8.0,8.0,1100
1995-04-07,8.125,8.25,8.125,8.25,4000
1995-04-10,8.125,8.125,8.125,8.125,0
1995-04-11,8.375,8.5,8.375,8.5,400
1995-04-12,8.375,8.375,8.375,8.375,0
1995-04-13,8.375,8.375,8.375,8.375,0
1995-04-17,8.5,8.5,8.5,8.5,1000
1995-04-18,8.0,8.5,8.0,8.5,1500
1995-04-19,8.0,8.0,8.0,8.0,0
1995-04-20,8.0,8.0,8.0,8.0,0
1995-04-21,8.0,8.0,8.0,8.0,0
1995-04-24,8.0,8.0,8.0,8.0,0
1995-04-25,8.5,9.5,8.5,8.5,7300
1995-04-26,9.5,10.0,9.5,10.0,1800
1995-04-27,9.5,9.5,9.5,9.5,0
1995-04-28,9.5,9.5,9.5,9.5,0
1995-05-01,9.5,9.5,9.5,9.5,3900
1995-05-02,9.0,9.375,9.0,9.375,3000
1995-05-03,9.0,9.0,9.0,9.0,500
1995-05-04,9.0,9.0,9.0,9.0,0
1995-05-05,9.0,9.0,9.0,9.0,0
1995-05-08,9.0,9.0,9.0,9.0,0
1995-05-09,8.5,8.5,8.5,8.5,900
1995-05-10,8.5,8.5,8.5,8.5,0
1995-05-11,8.5,8.5,8.5,8.5,0
1995-05-12,8.5,8.5,8.5,8.5,0
1995-05-15,8.125,9.0,8.125,9.0,8100
1995-05-16,8.125,8.125,8.125,8.125,600
1995-05-17,9.0,9.0,9.0,9.0,100
1995-05-18,8.5,8.5,8.375,8.5,3100
1995-05-19,8.5,8.5,8.5,8.5,0
1995-05-22,8.0,8.0,8.0,8.0,100
1995-05-23,8.0,8.0,8.0,8.0,0
1995-05-24,8.0,8.0,8.0,8.0,0
1995-05-25,8.0,8.0,8.0,8.0,0
1995-05-26,7.0,7.0,7.0,7.0,500
1995-05-30,7.75,8.0,7.75,8.0,1200
1995-05-31,7.75,7.75,7.75,7.75,0
1995-06-01,7.75,7.75,7.75,7.75,0
1995-06-02,7.75,7.75,7.75,7.75,0
1995-06-05,7.75,7.75,7.75,7.75,0
1995-06-06,7.75,7.75,7.75,7.75,0
1995-06-07,7.75,7.75,7.75,7.75,0
1995-06-08,7.75,7.75,7.75,7.75,0
1995-06-09,7.75,7.75,7.75,7.75,0
1995-06-12,7.75,7.75,7.75,7.75,0
1995-06-13,7.75,7.75,7.75,7.75,0
1995-06-14,7.75,7.75,7.75,7.75,0
1995-06-15,7.75,7.75,7.75,7.75,0
1995-06-16,7.75,7.75,7.75,7.75,0
1995-06-19,7.75,7.75,7.75,7.75,0
1995-06-20,7.75,7.75,7.75,7.75,0
1995-06-21,7.75,7.75,7.75,7.75,0
1995-06-22,7.75,7.75,7.75,7.75,0
1995-06-23,6.25,6.5,6.25,6.5,2000
1995-06-26,5.75,5.75,5.75,5.75,500
1995-06-27,5.0,5.0,5.0,5.0,200
1995-06-28,6.5,6.5,6.5,6.5,500
1995-06-29,6.5,6.5,6.5,6.5,0
1995-06-30,6.5,6.5,6.5,6.5,0
1995-07-03,6.5,6.5,6.5,6.5,0
1995-07-05,6.5,6.5,6.5,6.5,0
1995-07-06,6.5,6.5,6.5,6.5,0
1995-07-07,6.5,6.5,6.5,6.5,0
1995-07-10,6.5,6.5,6.5,6.5,0
1995-07-11,7.25,7.25,7.25,7.25,500
1995-07-12,7.25,7.25,7.25,7.25,0
1995-07-13,7.25,7.25,7.25,7.25,0
1995-07-14,7.25,7.25,7.25,7.25,0
1995-07-17,7.25,7.25,7.25,7.25,0
1995-07-18,7.25,7.25,7.25,7.25,0
1995-07-19,7.25,7.25,7.25,7.25,0
1995-07-20,7.25,7.25,7.25,7.25,0
1995-07-21,7.25,7.25,7.25,7.25,0
1995-07-24,6.25,6.25,6.25,6.25,800
1995-07-25,6.25,6.25,6.25,6.25,200
1995-07-26,6.25,6.25,6.25,6.25,0
1995-07-27,6.625,6.75,5.75,6.75,10500
1995-07-28,6.75,6.75,6.625,6.75,1300
1995-07-31,6.75,6.75,6.75,6.75,0
1995-08-01,6.75,6.75,6.75,6.75,0
1995-08-02,6.75,6.75,6.75,6.75,0
1995-08-03,6.75,6.75,6.75,6.75,0
1995-08-04,6.75,6.75,6.75,6.75,0
1995-08-07,6.75,6.75,6.75,6.75,0
1995-08-08,6.75,6.75,6.75,6.75,0
1995-08-09,6.75,6.75,6.75,6.75,0
1995-08-10,6.75,6.75,6.75,6.75,0
1995-08-11,6.75,6.75,6.75,6.75,0
1995-08-14,6.75,6.75,6.75,6.75,0
1995-08-15,6.125,6.125,6.125,6.125,200
1995-08-16,6.125,6.125,6.125,6.125,0
1995-08-17,6.125,6.125,6.125,6.125,0
1995-08-18,6.125,6.125,6.125,6.125,2300
1995-08-21,6.125,6.125,6.125,6.125,0
1995-08-22,6.125,6.125,6.125,6.125,400
1995-08-23,5.5,6.0,5.5,6.0,2400
1995-08-24,5.5,5.5,5.5,5.5,500
1995-08-25,5.5,5.5,5.5,5.5,0
1995-08-28,5.5,5.5,5.5,5.5,0
1995-08-29,5.25,5.25,5.0,5.0,1400
1995-08-30,5.25,5.25,5.25,5.25,0
1995-08-31,5.25,5.25,5.25,5.25,0
1995-09-01,5.25,5.25,5.25,5.25,0
1995-09-05,5.25,5.25,5.25,5.25,0
1995-09-06,5.25,5.25,5.25,5.25,0
1995-09-07,5.25,5.25,5.25,5.25,0
1995-09-08,5.25,5.25,5.25,5.25,0
1995-09-11,5.25,5.25,5.25,5.25,0
1995-09-12,5.25,5.25,5.25,5.25,0
1995-09-13,5.25,5.25,5.25,5.25,0
1995-09-14,5.25,5.25,5.25,5.25,0
1995-09-15,5.25,5.25,5.25,5.25,0
1995-09-18,5.25,5.25,5.25,5.25,0
1995-09-19,5.25,5.25,5.25,5.25,0
1995-09-20,5.25,5.25,5.25,5.25,0
