Date,close,high,low,open,volume
2021-11-09,25.010000228881836,27.0,25.0,26.0,1017100
2021-11-10,25.0,25.540000915527344,25.0,25.0,440400
2021-11-11,25.0,25.375,25.0,25.0,234600
2021-11-12,25.049999237060547,25.399999618530273,25.0,25.0,97400
2021-11-15,26.899999618530273,27.219999313354492,25.049999237060547,25.049999237060547,244500
2021-11-16,27.350000381469727,27.5,26.530000686645508,26.530000686645508,56600
2021-11-17,27.920000076293945,28.200000762939453,27.149999618530273,27.5,122600
2021-11-18,27.860000610351562,28.950000762939453,27.655000686645508,28.139999389648438,81700
2021-11-19,28.0,29.128999710083008,26.46500015258789,27.610000610351562,72500
2021-11-22,27.8700008392334,30.5,27.625,27.729999542236328,35600
2021-11-23,27.8700008392334,29.510000228881836,25.25,27.81999969482422,54500
2021-11-24,27.690000534057617,28.75,26.850000381469727,27.530000686645508,39600
2021-11-26,27.06999969482422,28.81999969482422,27.06999969482422,27.489999771118164,14100
2021-11-29,26.239999771118164,27.520000457763672,25.950000762939453,27.520000457763672,100500
2021-11-30,26.790000915527344,27.420000076293945,25.90999984741211,25.90999984741211,52000
2021-12-01,26.68000030517578,27.0,26.239999771118164,27.0,113600
2021-12-02,26.899999618530273,27.190000534057617,26.5049991607666,26.610000610351562,85100
2021-12-03,27.299999237060547,27.479999542236328,26.5,26.799999237060547,104000
2021-12-06,28.459999084472656,29.479999542236328,26.760000228881836,27.1200008392334,152400
2021-12-07,28.360000610351562,28.889999389648438,28.1299991607666,28.780000686645508,55000
2021-12-08,28.229999542236328,28.829999923706055,27.760000228881836,28.399999618530273,61100
2021-12-09,28.09000015258789,29.170000076293945,28.040000915527344,28.06999969482422,51100
2021-12-10,28.440000534057617,28.739999771118164,28.149999618530273,28.34000015258789,29600
2021-12-13,27.31999969482422,28.530000686645508,26.952999114990234,28.260000228881836,26600
2021-12-14,27.200000762939453,27.579999923706055,26.75,26.950000762939453,33700
2021-12-15,27.420000076293945,27.979999542236328,27.020000457763672,27.030000686645508,51300
2021-12-16,26.450000762939453,27.790000915527344,26.170000076293945,27.790000915527344,57300
2021-12-17,25.219999313354492,27.1299991607666,24.510000228881836,26.6200008392334,613200
2021-12-20,26.0,26.290000915527344,25.149999618530273,25.149999618530273,38000
2021-12-21,26.329999923706055,26.53499984741211,25.600000381469727,26.450000762939453,39600
2021-12-22,26.5,26.5,25.600000381469727,26.270000457763672,38100
2021-12-23,25.8799991607666,26.549999237060547,25.530000686645508,26.260000228881836,27400
2021-12-27,26.479999542236328,26.479999542236328,25.31999969482422,25.829999923706055,30700
2021-12-28,26.479999542236328,26.90999984741211,26.25,26.5,19600
2021-12-29,26.389999389648438,26.5,26.25,26.489999771118164,22400
2021-12-30,25.979999542236328,26.510000228881836,25.579999923706055,26.5,22000
2021-12-31,25.979999542236328,26.09000015258789,25.6299991607666,26.0,25100
2022-01-03,26.0,26.010000228881836,25.520000457763672,25.959999084472656,56700
2022-01-04,26.0,26.100000381469727,25.5,26.0,95200
2022-01-05,25.940000534057617,26.049999237060547,25.707000732421875,25.739999771118164,35800
2022-01-06,25.889999389648438,26.0,25.700000762939453,26.0,68700
2022-01-07,25.760000228881836,26.0,25.510000228881836,26.0,19600
2022-01-10,25.579999923706055,25.850000381469727,25.5,25.809999465942383,14500
2022-01-11,25.690000534057617,26.0,25.343000411987305,25.5,35500
2022-01-12,25.350000381469727,25.799999237060547,25.110000610351562,25.790000915527344,26400
2022-01-13,25.040000915527344,25.260000228881836,24.81999969482422,25.260000228881836,99300
2022-01-14,25.0,25.049999237060547,24.899999618530273,25.0,44000
2022-01-18,24.950000762939453,25.190000534057617,24.860000610351562,25.0,29900
2022-01-19,24.950000762939453,25.049999237060547,24.920000076293945,25.0,18000
2022-01-20,24.860000610351562,25.049999237060547,24.860000610351562,25.0,25800
2022-01-21,24.360000610351562,24.760000228881836,24.25,24.549999237060547,67900
2022-01-24,24.489999771118164,24.540000915527344,23.959999084472656,24.360000610351562,33900
2022-01-25,24.959999084472656,25.350000381469727,24.229999542236328,24.229999542236328,27000
2022-01-26,24.68000030517578,25.049999237060547,24.549999237060547,24.969999313354492,20300
2022-01-27,24.079999923706055,24.959999084472656,24.040000915527344,24.639999389648438,17200
2022-01-28,23.850000381469727,24.25,23.600000381469727,24.25,33000
2022-01-31,23.979999542236328,24.489999771118164,23.8700008392334,23.979999542236328,46000
2022-02-01,24.700000762939453,24.770000457763672,23.799999237060547,24.079999923706055,51300
2022-02-02,23.940000534057617,24.59000015258789,23.719999313354492,24.59000015258789,35500
2022-02-03,23.8799991607666,24.020000457763672,23.700000762939453,23.829999923706055,64800
2022-02-04,23.920000076293945,24.295000076293945,23.770000457763672,24.0,29100
2022-02-07,23.850000381469727,24.0,23.790000915527344,24.0,15400
2022-02-08,23.979999542236328,24.0,23.600000381469727,23.75,37300
2022-02-09,23.670000076293945,23.969999313354492,23.459999084472656,23.940000534057617,43100
2022-02-10,23.65999984741211,24.014999389648438,23.469999313354492,23.559999465942383,51200
2022-02-11,23.670000076293945,23.93000030517578,23.40999984741211,23.40999984741211,26300
2022-02-14,23.670000076293945,23.989999771118164,23.350000381469727,23.440000534057617,18600
2022-02-15,23.829999923706055,24.0,23.360000610351562,23.799999237060547,44300
2022-02-16,23.850000381469727,23.895000457763672,23.59000015258789,23.895000457763672,8000
2022-02-17,23.110000610351562,23.5,23.110000610351562,23.40999984741211,18000
2022-02-18,23.520000457763672,23.770000457763672,23.110000610351562,23.1200008392334,11200
2022-02-22,23.360000610351562,23.65999984741211,23.0,23.475000381469727,30400
2022-02-23,22.790000915527344,23.389999389648438,22.665000915527344,23.389999389648438,28800
2022-02-24,22.540000915527344,23.239999771118164,22.09000015258789,22.559999465942383,31300
2022-02-25,23.139999389648438,23.25,22.450000762939453,22.450000762939453,13700
2022-02-28,23.270000457763672,23.440000534057617,23.0,23.1200008392334,23200
2022-03-01,22.530000686645508,23.149999618530273,22.170000076293945,23.149999618530273,21300
