Date,close,high,low,open,volume
2011-05-12,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,5000
2011-05-13,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-16,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-17,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-18,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-19,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-20,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-23,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-24,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-25,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-26,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-27,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-05-31,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-01,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-02,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-03,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-06,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-07,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-08,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-09,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-10,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-13,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-14,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-15,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-16,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-17,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-20,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-21,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-22,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-23,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-24,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-27,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-28,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-29,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-06-30,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-01,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-05,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-06,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-07,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-08,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-11,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-12,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-13,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-14,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-15,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-18,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-19,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-20,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-21,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-22,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-25,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-26,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-27,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-28,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-07-29,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-01,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-02,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-03,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-04,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-05,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-08,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-09,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-10,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-11,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-12,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-15,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-16,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-17,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-18,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-19,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-22,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-23,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-24,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-25,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-26,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-29,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-30,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-08-31,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-01,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-02,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-06,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-07,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-08,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-09,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-12,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-13,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-14,0.5099999904632568,0.5099999904632568,0.25,0.25,13939
2011-09-15,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-16,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-19,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-20,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-21,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-22,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-23,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-26,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-27,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-28,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-29,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-09-30,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
2011-10-03,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0
