Date,close,high,low,open,volume
2025-06-23,36.5,75.0,28.610000610351562,28.610000610351562,134100
2025-06-24,40.61000061035156,64.0,36.0099983215332,37.5,141600
2025-06-25,30.975000381469727,40.0,30.520000457763672,40.0,57000
2025-06-26,16.43000030517578,29.92099952697754,15.128999710083008,29.0,190400
2025-06-27,8.670000076293945,15.038000106811523,8.569999694824219,14.300000190734863,405400
2025-06-30,5.130000114440918,8.9399995803833,4.800000190734863,8.9399995803833,363600
2025-07-01,4.610000133514404,5.139999866485596,4.159999847412109,5.139999866485596,2698100
2025-07-02,8.1899995803833,14.300000190734863,7.809999942779541,8.619999885559082,44685700
2025-07-03,6.039999961853027,7.800000190734863,5.960000038146973,7.610000133514404,2231400
2025-07-07,6.480000019073486,7.409999847412109,6.300000190734863,6.349999904632568,1560600
2025-07-08,5.940000057220459,6.4770002365112305,5.599999904632568,6.269999980926514,680900
2025-07-09,6.0,6.230000019073486,5.699999809265137,5.900000095367432,368900
2025-07-10,6.099999904632568,6.75,5.929999828338623,6.0,477400
2025-07-11,5.960000038146973,6.150000095367432,5.900000095367432,6.119999885559082,209600
2025-07-14,5.679999828338623,5.8979997634887695,5.664999961853027,5.849999904632568,224600
2025-07-15,5.389999866485596,5.650000095367432,5.15500020980835,5.599999904632568,293800
2025-07-16,5.699999809265137,5.78000020980835,5.329999923706055,5.380000114440918,354900
2025-07-17,5.769999980926514,5.769999980926514,5.460000038146973,5.739999771118164,152200
2025-07-18,5.630000114440918,5.75,5.400000095367432,5.659999847412109,194800
2025-07-21,5.579999923706055,5.741000175476074,5.324999809265137,5.539999961853027,142700
2025-07-22,5.369999885559082,5.5,5.28000020980835,5.449999809265137,102900
2025-07-23,5.400000095367432,5.47599983215332,5.309999942779541,5.349999904632568,130000
2025-07-24,5.190000057220459,5.400000095367432,5.190000057220459,5.400000095367432,114400
2025-07-25,5.210000038146973,5.349999904632568,5.050000190734863,5.210000038146973,87300
2025-07-28,5.099999904632568,5.300000190734863,5.03000020980835,5.300000190734863,130600
2025-07-29,4.710000038146973,5.208000183105469,4.599999904632568,5.0,142200
2025-07-30,4.599999904632568,4.809999942779541,4.510000228881836,4.800000190734863,54700
2025-07-31,4.599999904632568,4.696000099182129,4.53000020980835,4.599999904632568,59400
2025-08-01,4.71999979019165,4.800000190734863,4.510000228881836,4.510000228881836,107000
2025-08-04,5.300000190734863,5.300000190734863,4.639999866485596,4.800000190734863,129800
2025-08-05,5.190000057220459,5.429999828338623,5.090000152587891,5.360000133514404,78400
2025-08-06,5.170000076293945,5.170000076293945,4.931000232696533,5.050000190734863,31900
2025-08-07,5.179999828338623,5.336999893188477,5.0,5.099999904632568,57700
2025-08-08,5.019999980926514,5.230000019073486,4.949999809265137,5.059999942779541,46100
2025-08-11,4.949999809265137,5.190000057220459,4.900000095367432,5.090000152587891,56800
2025-08-12,4.96999979019165,5.170000076293945,4.940000057220459,4.980000019073486,61700
2025-08-13,5.03000020980835,5.14900016784668,4.949999809265137,4.949999809265137,43700
2025-08-14,5.070000171661377,5.070000171661377,5.0,5.0,61700
2025-08-15,5.090000152587891,5.204999923706055,5.0,5.079999923706055,57800
2025-08-18,4.889999866485596,5.090000152587891,4.800000190734863,4.860000133514404,105100
2025-08-19,4.659999847412109,4.949999809265137,4.622000217437744,4.949999809265137,76800
2025-08-20,4.599999904632568,4.840000152587891,4.504000186920166,4.599999904632568,49000
2025-08-21,4.260000228881836,4.795000076293945,4.260000228881836,4.75,94300
2025-08-22,4.349999904632568,4.514999866485596,4.260000228881836,4.260000228881836,58900
2025-08-25,4.269999980926514,4.5289998054504395,4.269999980926514,4.429999828338623,31800
